plot_id,yield_Mgha
2012_13,8.324721145
2012_15,9.20965331
2012_17,8.123359335
2012_22,9.45340708
2012_24,9.421613110000001
2012_26,11.387540255000001
2012_34,9.501098035
2012_36,8.44659803
2012_39,10.041595525
2012_41,9.999203565
2012_44,11.2338694
2012_47,10.295947285
2013_14,8.881115620000001
2013_16,8.504886975
2013_19,8.266432199999999
2013_25,8.78573371
2013_27,7.985585464999999
2013_29,9.543489995
2013_32,8.504886975
2013_33,7.699439735000001
2013_35,8.123359335
2013_42,8.430701045000001
2013_45,6.80390958
2013_49,8.600268885
2014_11,11.069600555000001
2014_13,10.2800503
2014_18,11.24446739
2014_23,11.38224126
2014_24,11.016610605
2014_28,10.756959850000001
2014_34,10.47081412
2014_37,11.811459854999999
2014_38,10.947723669999998
2014_44,11.05370357
2014_46,11.11729151
2014_48,10.953022664999999
2015_12,10.794052815
2015_15,10.825846785000001
2015_19,10.603288995
2015_21,11.217972414999998
2015_26,10.370133215
2015_27,10.820547789999999
2015_31,11.504118145
2015_35,10.931826685
2015_36,10.97951764
2015_43,11.48822116
2015_45,11.016610605
2015_47,10.44961814
2016_13,12.468535235000001
2016_16,12.457937245
2016_17,12.659299055
2016_22,12.627505085000001
2016_24,10.59799
2016_25,12.44204026
2016_33,11.557108095
2016_34,10.799351810000001
2016_39,10.820547789999999
2016_41,12.67519604
2016_42,11.837954830000001
2016_44,10.36483422
2017_11,11.737273925
2017_14,9.257344265
2017_19,9.49579904
2017_23,10.39662819
2017_27,9.840233715
2017_29,11.39283925
2017_32,10.073389494999999
2017_35,10.327741255
2017_38,11.366344275
2017_45,10.502608089999999
2017_48,11.837954830000001
2017_49,12.41024629
2018_13,9.7851
2018_15,10.794875
2018_18,12.096174999999999
2018_24,11.124424999999999
2018_26,11.052599999999998
2018_28,11.661
2018_34,8.428875
2018_36,11.998999999999999
2018_37,12.636975
2018_44,10.237174999999999
2018_46,11.259625
2018_47,10.461099999999998
2019_12,10.6301
2019_16,10.820224999999999
2019_19,11.166675
2019_21,10.7484
2019_25,10.178025
2019_27,10.2921
2019_31,10.77375
2019_33,10.36815
2019_35,11.462425
2019_42,10.456875
2019_43,10.803325
2019_45,10.938525
2020_11,11.462425000000001
2020_13,10.317450000000001
2020_17,11.031474999999999
2020_22,11.65255
2020_23,11.048374999999998
2020_24,10.794875
2020_34,10.09775
2020_38,11.048374999999998
2020_39,10.655449999999998
2020_41,10.554049999999998
2020_44,10.6977
2020_48,10.718825
